Sorteo;Número;Paridad;Color;Docena;Columna;Alto_Bajo
1833620;8;PAR;NEGRO;A;B;BAJA
1833619;5;IMPAR;ROJO;A;B;BAJA
1833618;29;IMPAR;NEGRO;C;B;ALTA
1833617;9;IMPAR;ROJO;A;C;BAJA
1833616;30;PAR;ROJO;C;C;ALTA
1833615;11;IMPAR;NEGRO;A;B;BAJA
1833614;7;IMPAR;ROJO;A;A;BAJA
1833613;16;PAR;ROJO;B;A;BAJA
1833612;28;PAR;NEGRO;C;A;ALTA
1833611;34;PAR;ROJO;C;A;ALTA
1833610;4;PAR;NEGRO;A;A;BAJA
1833609;13;IMPAR;NEGRO;B;A;BAJA
1833608;36;PAR;ROJO;C;C;ALTA
1833607;33;IMPAR;NEGRO;C;C;ALTA
1833606;21;IMPAR;ROJO;B;C;ALTA
1833605;26;PAR;NEGRO;C;B;ALTA
1833604;25;IMPAR;ROJO;C;A;ALTA
1833603;1;IMPAR;ROJO;A;A;BAJA
1833602;14;PAR;ROJO;B;B;BAJA
1833601;22;PAR;NEGRO;B;A;ALTA
1833600;36;PAR;ROJO;C;C;ALTA
1833599;22;PAR;NEGRO;B;A;ALTA
1833598;32;PAR;ROJO;C;B;ALTA
1833597;10;PAR;NEGRO;A;A;BAJA
1833596;23;IMPAR;ROJO;B;B;ALTA
1833595;36;PAR;ROJO;C;C;ALTA
1833594;14;PAR;ROJO;B;B;BAJA
1833593;8;PAR;NEGRO;A;B;BAJA
1833592;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833591;28;PAR;NEGRO;C;A;ALTA
1833590;36;PAR;ROJO;C;C;ALTA
1833589;14;PAR;ROJO;B;B;BAJA
1833588;33;IMPAR;NEGRO;C;C;ALTA
1833587;2;PAR;NEGRO;A;B;BAJA
1833586;3;IMPAR;ROJO;A;C;BAJA
1833585;29;IMPAR;NEGRO;C;B;ALTA
1833584;25;IMPAR;ROJO;C;A;ALTA
1833583;33;IMPAR;NEGRO;C;C;ALTA
1833582;13;IMPAR;NEGRO;B;A;BAJA
1833581;22;PAR;NEGRO;B;A;ALTA
1833580;28;PAR;NEGRO;C;A;ALTA
1833579;30;PAR;ROJO;C;C;ALTA
1833578;9;IMPAR;ROJO;A;C;BAJA
1833577;15;IMPAR;NEGRO;B;C;BAJA
1833576;15;IMPAR;NEGRO;B;C;BAJA
1833575;26;PAR;NEGRO;C;B;ALTA
1833574;34;PAR;ROJO;C;A;ALTA
1833573;26;PAR;NEGRO;C;B;ALTA
1833572;34;PAR;ROJO;C;A;ALTA
1833571;25;IMPAR;ROJO;C;A;ALTA
1833570;22;PAR;NEGRO;B;A;ALTA
1833569;7;IMPAR;ROJO;A;A;BAJA
1833568;3;IMPAR;ROJO;A;C;BAJA
1833567;33;IMPAR;NEGRO;C;C;ALTA
1833566;12;PAR;ROJO;A;C;BAJA
1833565;11;IMPAR;NEGRO;A;B;BAJA
1833564;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833563;15;IMPAR;NEGRO;B;C;BAJA
1833562;3;IMPAR;ROJO;A;C;BAJA
1833561;28;PAR;NEGRO;C;A;ALTA
1833560;3;IMPAR;ROJO;A;C;BAJA
1833559;14;PAR;ROJO;B;B;BAJA
1833558;36;PAR;ROJO;C;C;ALTA
1833557;21;IMPAR;ROJO;B;C;ALTA
1833556;29;IMPAR;NEGRO;C;B;ALTA
1833555;29;IMPAR;NEGRO;C;B;ALTA
1833554;23;IMPAR;ROJO;B;B;ALTA
1833553;20;PAR;NEGRO;B;B;ALTA
1833552;19;IMPAR;ROJO;B;A;ALTA
1833551;17;IMPAR;NEGRO;B;B;BAJA
1833550;21;IMPAR;ROJO;B;C;ALTA
1833549;30;PAR;ROJO;C;C;ALTA
1833548;17;IMPAR;NEGRO;B;B;BAJA
1833547;17;IMPAR;NEGRO;B;B;BAJA
1833546;12;PAR;ROJO;A;C;BAJA
1833545;7;IMPAR;ROJO;A;A;BAJA
1833544;8;PAR;NEGRO;A;B;BAJA
1833543;18;PAR;ROJO;B;C;BAJA
1833542;35;IMPAR;NEGRO;C;B;ALTA
1833541;34;PAR;ROJO;C;A;ALTA
1833540;6;PAR;NEGRO;A;C;BAJA
1833539;10;PAR;NEGRO;A;A;BAJA
1833538;27;IMPAR;ROJO;C;C;ALTA
1833537;1;IMPAR;ROJO;A;A;BAJA
1833536;5;IMPAR;ROJO;A;B;BAJA
1833535;11;IMPAR;NEGRO;A;B;BAJA
1833534;13;IMPAR;NEGRO;B;A;BAJA
1833533;7;IMPAR;ROJO;A;A;BAJA
1833532;32;PAR;ROJO;C;B;ALTA
1833531;13;IMPAR;NEGRO;B;A;BAJA
1833530;32;PAR;ROJO;C;B;ALTA
1833529;32;PAR;ROJO;C;B;ALTA
1833528;34;PAR;ROJO;C;A;ALTA
1833527;22;PAR;NEGRO;B;A;ALTA
1833526;29;IMPAR;NEGRO;C;B;ALTA
1833525;11;IMPAR;NEGRO;A;B;BAJA
1833524;12;PAR;ROJO;A;C;BAJA
1833523;23;IMPAR;ROJO;B;B;ALTA
1833522;14;PAR;ROJO;B;B;BAJA
1833521;4;PAR;NEGRO;A;A;BAJA
1833520;4;PAR;NEGRO;A;A;BAJA
1833519;21;IMPAR;ROJO;B;C;ALTA
1833518;15;IMPAR;NEGRO;B;C;BAJA
1833517;18;PAR;ROJO;B;C;BAJA
1833516;36;PAR;ROJO;C;C;ALTA
1833515;9;IMPAR;ROJO;A;C;BAJA
1833514;6;PAR;NEGRO;A;C;BAJA
1833513;27;IMPAR;ROJO;C;C;ALTA
1833512;16;PAR;ROJO;B;A;BAJA
1833511;7;IMPAR;ROJO;A;A;BAJA
1833510;8;PAR;NEGRO;A;B;BAJA
1833509;24;PAR;NEGRO;B;C;ALTA
1833508;4;PAR;NEGRO;A;A;BAJA
1833507;29;IMPAR;NEGRO;C;B;ALTA
1833506;9;IMPAR;ROJO;A;C;BAJA
1833505;13;IMPAR;NEGRO;B;A;BAJA
1833504;36;PAR;ROJO;C;C;ALTA
1833503;8;PAR;NEGRO;A;B;BAJA
1833502;8;PAR;NEGRO;A;B;BAJA
1833501;14;PAR;ROJO;B;B;BAJA
1833500;22;PAR;NEGRO;B;A;ALTA
1833499;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833498;24;PAR;NEGRO;B;C;ALTA
1833497;14;PAR;ROJO;B;B;BAJA
1833496;9;IMPAR;ROJO;A;C;BAJA
1833495;1;IMPAR;ROJO;A;A;BAJA
1833494;34;PAR;ROJO;C;A;ALTA
1833493;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833492;13;IMPAR;NEGRO;B;A;BAJA
1833491;18;PAR;ROJO;B;C;BAJA
1833490;4;PAR;NEGRO;A;A;BAJA
1833489;31;IMPAR;NEGRO;C;A;ALTA
1833488;17;IMPAR;NEGRO;B;B;BAJA
1833487;6;PAR;NEGRO;A;C;BAJA
1833486;3;IMPAR;ROJO;A;C;BAJA
1833485;1;IMPAR;ROJO;A;A;BAJA
1833484;4;PAR;NEGRO;A;A;BAJA
1833483;9;IMPAR;ROJO;A;C;BAJA
1833482;27;IMPAR;ROJO;C;C;ALTA
1833481;15;IMPAR;NEGRO;B;C;BAJA
1833480;25;IMPAR;ROJO;C;A;ALTA
1833479;31;IMPAR;NEGRO;C;A;ALTA
1833478;8;PAR;NEGRO;A;B;BAJA
1833477;34;PAR;ROJO;C;A;ALTA
1833476;32;PAR;ROJO;C;B;ALTA
1833475;16;PAR;ROJO;B;A;BAJA
1833474;28;PAR;NEGRO;C;A;ALTA
1833473;32;PAR;ROJO;C;B;ALTA
1833472;11;IMPAR;NEGRO;A;B;BAJA
1833471;28;PAR;NEGRO;C;A;ALTA
1833470;29;IMPAR;NEGRO;C;B;ALTA
1833469;14;PAR;ROJO;B;B;BAJA
1833468;7;IMPAR;ROJO;A;A;BAJA
1833467;15;IMPAR;NEGRO;B;C;BAJA
1833466;10;PAR;NEGRO;A;A;BAJA
1833465;36;PAR;ROJO;C;C;ALTA
1833464;34;PAR;ROJO;C;A;ALTA
1833463;25;IMPAR;ROJO;C;A;ALTA
1833462;11;IMPAR;NEGRO;A;B;BAJA
1833461;6;PAR;NEGRO;A;C;BAJA
1833460;26;PAR;NEGRO;C;B;ALTA
1833459;7;IMPAR;ROJO;A;A;BAJA
1833458;30;PAR;ROJO;C;C;ALTA
1833457;28;PAR;NEGRO;C;A;ALTA
1833456;17;IMPAR;NEGRO;B;B;BAJA
1833455;5;IMPAR;ROJO;A;B;BAJA
1833454;13;IMPAR;NEGRO;B;A;BAJA
1833453;21;IMPAR;ROJO;B;C;ALTA
1833452;21;IMPAR;ROJO;B;C;ALTA
1833451;11;IMPAR;NEGRO;A;B;BAJA
1833450;18;PAR;ROJO;B;C;BAJA
1833449;29;IMPAR;NEGRO;C;B;ALTA
1833448;33;IMPAR;NEGRO;C;C;ALTA
1833447;11;IMPAR;NEGRO;A;B;BAJA
1833446;8;PAR;NEGRO;A;B;BAJA
1833445;35;IMPAR;NEGRO;C;B;ALTA
1833444;35;IMPAR;NEGRO;C;B;ALTA
1833443;2;PAR;NEGRO;A;B;BAJA
1833442;32;PAR;ROJO;C;B;ALTA
1833441;4;PAR;NEGRO;A;A;BAJA
1833440;28;PAR;NEGRO;C;A;ALTA
1833439;7;IMPAR;ROJO;A;A;BAJA
1833438;3;IMPAR;ROJO;A;C;BAJA
1833437;34;PAR;ROJO;C;A;ALTA
1833436;28;PAR;NEGRO;C;A;ALTA
1833435;7;IMPAR;ROJO;A;A;BAJA
1833434;0;#N/D;#N/D;#N/D;#N/D;#N/D
1833433;6;PAR;NEGRO;A;C;BAJA
1833432;4;PAR;NEGRO;A;A;BAJA
1833431;26;PAR;NEGRO;C;B;ALTA
1833430;18;PAR;ROJO;B;C;BAJA
1833429;15;IMPAR;NEGRO;B;C;BAJA
1833428;14;PAR;ROJO;B;B;BAJA
1833427;17;IMPAR;NEGRO;B;B;BAJA
1833426;14;PAR;ROJO;B;B;BAJA
1833425;11;IMPAR;NEGRO;A;B;BAJA
1833424;16;PAR;ROJO;B;A;BAJA
1833423;12;PAR;ROJO;A;C;BAJA
1833422;10;PAR;NEGRO;A;A;BAJA
1833421;21;IMPAR;ROJO;B;C;ALTA
1833420;16;PAR;ROJO;B;A;BAJA
1833419;8;PAR;NEGRO;A;B;BAJA
1833418;17;IMPAR;NEGRO;B;B;BAJA
1833417;10;PAR;NEGRO;A;A;BAJA
1833416;34;PAR;ROJO;C;A;ALTA
1833415;33;IMPAR;NEGRO;C;C;ALTA
1833414;21;IMPAR;ROJO;B;C;ALTA
1833413;20;PAR;NEGRO;B;B;ALTA
1833412;4;PAR;NEGRO;A;A;BAJA
1833411;11;IMPAR;NEGRO;A;B;BAJA
1833410;2;PAR;NEGRO;A;B;BAJA
1833409;35;IMPAR;NEGRO;C;B;ALTA
1833408;7;IMPAR;ROJO;A;A;BAJA
1833407;28;PAR;NEGRO;C;A;ALTA
1833406;30;PAR;ROJO;C;C;ALTA
1833405;28;PAR;NEGRO;C;A;ALTA
1833404;1;IMPAR;ROJO;A;A;BAJA
1833403;3;IMPAR;ROJO;A;C;BAJA
1833402;23;IMPAR;ROJO;B;B;ALTA
1833401;19;IMPAR;ROJO;B;A;ALTA
1833400;26;PAR;NEGRO;C;B;ALTA
1833399;13;IMPAR;NEGRO;B;A;BAJA
1833398;10;PAR;NEGRO;A;A;BAJA
1833397;12;PAR;ROJO;A;C;BAJA
1833396;1;IMPAR;ROJO;A;A;BAJA
1833395;8;PAR;NEGRO;A;B;BAJA
1833394;1;IMPAR;ROJO;A;A;BAJA
1833393;2;PAR;NEGRO;A;B;BAJA
1833392;10;PAR;NEGRO;A;A;BAJA
1833391;2;PAR;NEGRO;A;B;BAJA
1833390;33;IMPAR;NEGRO;C;C;ALTA
1833389;5;IMPAR;ROJO;A;B;BAJA
1833388;2;PAR;NEGRO;A;B;BAJA
1833387;20;PAR;NEGRO;B;B;ALTA
1833386;1;IMPAR;ROJO;A;A;BAJA
1833385;21;IMPAR;ROJO;B;C;ALTA
1833384;23;IMPAR;ROJO;B;B;ALTA
1833383;13;IMPAR;NEGRO;B;A;BAJA
1833382;11;IMPAR;NEGRO;A;B;BAJA
1833381;21;IMPAR;ROJO;B;C;ALTA
1833380;2;PAR;NEGRO;A;B;BAJA
1833379;2;PAR;NEGRO;A;B;BAJA
1833378;26;PAR;NEGRO;C;B;ALTA
1833377;8;PAR;NEGRO;A;B;BAJA
1833376;6;PAR;NEGRO;A;C;BAJA
1833375;33;IMPAR;NEGRO;C;C;ALTA
1833374;7;IMPAR;ROJO;A;A;BAJA
1833373;23;IMPAR;ROJO;B;B;ALTA
1833372;30;PAR;ROJO;C;C;ALTA
1833371;28;PAR;NEGRO;C;A;ALTA
1833370;20;PAR;NEGRO;B;B;ALTA
1833369;12;PAR;ROJO;A;C;BAJA
1833368;25;IMPAR;ROJO;C;A;ALTA
1833367;25;IMPAR;ROJO;C;A;ALTA
1833366;28;PAR;NEGRO;C;A;ALTA
1833365;21;IMPAR;ROJO;B;C;ALTA
